"","pointid","grid_code","POINT_X","POINT_Y","year","effort","obs"
"220",62977,0.066025,-1410566.79481,1819682.2555,2021,1,0
"221",63184,0.141946,-1203566.79481,1819682.2555,2017,1,0
"222",63682,0.0224827,-1436566.79481,1818682.2555,2019,2,0
"223",63683,0.012605,-1435566.79481,1818682.2555,2021,3,0
"224",63701,0.356052,-1417566.79481,1818682.2555,2020,1,0
"225",63723,0.161107,-1395566.79481,1818682.2555,2018,1,0
"226",63771,0.0128603,-1347566.79481,1818682.2555,2019,1,0
"227",63913,0.498388,-1205566.79481,1818682.2555,2018,1,0
"228",63945,0.289247,-1173566.79481,1818682.2555,2017,1,0
"229",64412,0.00905699,-1435566.79481,1817682.2555,2021,1,0
"230",64442,0.548049,-1405566.79481,1817682.2555,2021,1,0
"231",64505,0.0247784,-1342566.79481,1817682.2555,2020,1,0
"232",64639,0.224024,-1208566.79481,1817682.2555,2018,1,0
"233",64679,0.021786,-1168566.79481,1817682.2555,2020,1,0
"234",65119,0.234416,-1457566.79481,1816682.2555,2018,2,0
"235",65119,0.234416,-1457566.79481,1816682.2555,2020,1,0
"236",65125,0.02691,-1451566.79481,1816682.2555,2019,1,0
"237",65125,0.02691,-1451566.79481,1816682.2555,2020,10,0
"238",65125,0.02691,-1451566.79481,1816682.2555,2021,11,0
"239",65126,0.0404333,-1450566.79481,1816682.2555,2021,1,0
"240",65408,1.0988,-1168566.79481,1816682.2555,2018,1,0
"241",65408,1.0988,-1168566.79481,1816682.2555,2019,1,0
"242",65408,1.0988,-1168566.79481,1816682.2555,2020,1,0
"243",65852,0.0622627,-1451566.79481,1815682.2555,2020,3,0
"244",65852,0.0622627,-1451566.79481,1815682.2555,2021,1,0
"245",65879,0.125932,-1424566.79481,1815682.2555,2021,2,0
"246",65906,0.0380197,-1397566.79481,1815682.2555,2017,1,0
"247",65906,0.0380197,-1397566.79481,1815682.2555,2020,1,0
"248",66115,0.0902196,-1188566.79481,1815682.2555,2021,1,0
"249",66129,0.105263,-1174566.79481,1815682.2555,2017,1,0
"250",66133,0.393815,-1170566.79481,1815682.2555,2017,1,0
"251",66133,0.393815,-1170566.79481,1815682.2555,2018,1,0
"252",66133,0.393815,-1170566.79481,1815682.2555,2020,1,0
"253",66134,0.180156,-1169566.79481,1815682.2555,2020,1,0
"254",66841,0.0161654,-1187566.79481,1814682.2555,2018,1,0
"255",66841,0.0161654,-1187566.79481,1814682.2555,2021,1,0
"256",66860,0.481423,-1168566.79481,1814682.2555,2020,1,0
"257",66861,0.847719,-1167566.79481,1814682.2555,2019,1,0
"258",66861,0.847719,-1167566.79481,1814682.2555,2020,1,0
"259",66861,0.847719,-1167566.79481,1814682.2555,2021,3,0
"260",66869,0.187314,-1880566.79481,1813682.2555,2021,1,0
"261",66880,0.0792481,-1869566.79481,1813682.2555,2020,1,0
"262",67329,0.0648052,-1420566.79481,1813682.2555,2019,1,0
"263",67582,0.00362848,-1167566.79481,1813682.2555,2018,3,0
"264",67582,0.00362848,-1167566.79481,1813682.2555,2019,6,0
"265",67582,0.00362848,-1167566.79481,1813682.2555,2020,2,0
"266",67582,0.00362848,-1167566.79481,1813682.2555,2021,5,0
"267",68039,0.0591309,-1431566.79481,1812682.2555,2017,1,0
"268",68039,0.0591309,-1431566.79481,1812682.2555,2019,1,0
"269",68039,0.0591309,-1431566.79481,1812682.2555,2020,2,0
"270",68039,0.0591309,-1431566.79481,1812682.2555,2021,4,0
"271",68062,0.0768922,-1408566.79481,1812682.2555,2018,1,0
"272",68299,1.05612,-1171566.79481,1812682.2555,2019,2,0
"273",68303,0.0110907,-1167566.79481,1812682.2555,2021,1,0
"274",68304,0.0341435,-1166566.79481,1812682.2555,2017,1,0
"275",68304,0.0341435,-1166566.79481,1812682.2555,2018,3,0
"276",68304,0.0341435,-1166566.79481,1812682.2555,2019,2,0
"277",68304,0.0341435,-1166566.79481,1812682.2555,2020,2,0
"278",68304,0.0341435,-1166566.79481,1812682.2555,2021,4,0
"279",68785,0.260431,-1409566.79481,1811682.2555,2020,1,0
"280",69008,0.0744792,-1186566.79481,1811682.2555,2018,1,0
"281",69020,0.158272,-1174566.79481,1811682.2555,2019,2,0
"282",69022,0.0793375,-1172566.79481,1811682.2555,2017,1,0
"283",69022,0.0793375,-1172566.79481,1811682.2555,2018,1,0
"284",69022,0.0793375,-1172566.79481,1811682.2555,2021,2,0
"285",69027,0.00214948,-1167566.79481,1811682.2555,2017,1,0
"286",69027,0.00214948,-1167566.79481,1811682.2555,2018,2,0
"287",69027,0.00214948,-1167566.79481,1811682.2555,2020,1,0
"288",69027,0.00214948,-1167566.79481,1811682.2555,2021,5,0
"289",69028,0.00856185,-1166566.79481,1811682.2555,2017,1,0
"290",69028,0.00856185,-1166566.79481,1811682.2555,2018,5,0
"291",69028,0.00856185,-1166566.79481,1811682.2555,2019,2,0
"292",69028,0.00856185,-1166566.79481,1811682.2555,2021,6,0
"293",69029,0.528951,-1165566.79481,1811682.2555,2018,1,0
"294",69349,0.0621859,-1576566.79481,1810682.2555,2021,1,0
"295",69548,0.405688,-1377566.79481,1810682.2555,2018,1,0
"296",69585,0.0368112,-1340566.79481,1810682.2555,2021,2,0
"297",69587,0.108896,-1338566.79481,1810682.2555,2018,1,0
"298",69588,0.0842299,-1337566.79481,1810682.2555,2020,1,0
"299",69588,0.0842299,-1337566.79481,1810682.2555,2021,3,0
"300",69757,0.464494,-1168566.79481,1810682.2555,2021,1,0
"301",69758,0.00244108,-1167566.79481,1810682.2555,2017,8,0
"302",69758,0.00244108,-1167566.79481,1810682.2555,2018,9,0
"303",69758,0.00244108,-1167566.79481,1810682.2555,2019,3,0
"304",69758,0.00244108,-1167566.79481,1810682.2555,2020,1,0
"305",69758,0.00244108,-1167566.79481,1810682.2555,2021,8,0
"306",69759,0.0343076,-1166566.79481,1810682.2555,2018,1,0
"307",69759,0.0343076,-1166566.79481,1810682.2555,2019,1,0
"308",69759,0.0343076,-1166566.79481,1810682.2555,2020,1,0
"309",69759,0.0343076,-1166566.79481,1810682.2555,2021,14,0
"310",69760,0.0183654,-1165566.79481,1810682.2555,2018,6,0
"311",69760,0.0183654,-1165566.79481,1810682.2555,2019,2,0
"312",69760,0.0183654,-1165566.79481,1810682.2555,2020,2,0
"313",69760,0.0183654,-1165566.79481,1810682.2555,2021,4,0
"314",69761,0.329166,-1164566.79481,1810682.2555,2017,5,0
"315",70013,0.0397374,-1646566.79481,1809682.2555,2020,1,0
"316",70451,0.0827232,-1208566.79481,1809682.2555,2020,1,0
"317",70491,0.320126,-1168566.79481,1809682.2555,2019,2,0
"318",70493,0.254102,-1166566.79481,1809682.2555,2019,1,0
"319",70493,0.254102,-1166566.79481,1809682.2555,2021,1,0
"320",70494,0.0215506,-1165566.79481,1809682.2555,2017,1,0
"321",70494,0.0215506,-1165566.79481,1809682.2555,2018,8,0
"322",70494,0.0215506,-1165566.79481,1809682.2555,2021,2,0
"323",70495,0.0290452,-1164566.79481,1809682.2555,2018,4,0
"324",70495,0.0290452,-1164566.79481,1809682.2555,2019,57,0
"325",70495,0.0290452,-1164566.79481,1809682.2555,2020,5,0
"326",70495,0.0290452,-1164566.79481,1809682.2555,2021,7,0
"327",70501,0.0639636,-1155566.79481,1809682.2555,2021,1,0
"328",71228,0.582347,-1169566.79481,1808682.2555,2019,1,0
"329",71229,0.54773,-1168566.79481,1808682.2555,2017,1,0
"330",71229,0.54773,-1168566.79481,1808682.2555,2021,3,0
"331",71233,0.0200744,-1164566.79481,1808682.2555,2017,3,0
"332",71233,0.0200744,-1164566.79481,1808682.2555,2018,1,0
"333",71233,0.0200744,-1164566.79481,1808682.2555,2019,1,0
"334",71233,0.0200744,-1164566.79481,1808682.2555,2020,6,0
"335",71803,0.00156675,-1340566.79481,1807682.2555,2021,1,0
"336",72464,0.0318327,-1425566.79481,1806682.2555,2021,1,0
"337",72490,0.0112257,-1399566.79481,1806682.2555,2018,1,0
"338",72490,0.0112257,-1399566.79481,1806682.2555,2021,1,0
"339",72552,0.0326603,-1337566.79481,1806682.2555,2020,1,0
"340",72554,0.496975,-1335566.79481,1806682.2555,2018,2,0
"341",72563,0.0200053,-1326566.79481,1806682.2555,2019,2,0
"342",72563,0.0200053,-1326566.79481,1806682.2555,2020,3,0
"343",72563,0.0200053,-1326566.79481,1806682.2555,2021,2,0
"344",72566,0.0452868,-1323566.79481,1806682.2555,2017,1,0
"345",72624,0.223212,-1265566.79481,1806682.2555,2019,1,0
"346",72683,0.222057,-1206566.79481,1806682.2555,2021,1,0
"347",72718,0.0180185,-1171566.79481,1806682.2555,2021,1,0
"348",72719,0.00114127,-1170566.79481,1806682.2555,2019,1,0
"349",72726,0.10753,-1163566.79481,1806682.2555,2019,1,0
"350",72727,0.123052,-1162566.79481,1806682.2555,2021,1,0
"351",72728,0.0309282,-1161566.79481,1806682.2555,2017,22,0
"352",72728,0.0309282,-1161566.79481,1806682.2555,2018,29,0
"353",72728,0.0309282,-1161566.79481,1806682.2555,2019,42,0
"354",72728,0.0309282,-1161566.79481,1806682.2555,2020,98,0
"355",72728,0.0309282,-1161566.79481,1806682.2555,2021,55,0
"356",72729,0.0466402,-1160566.79481,1806682.2555,2020,1,0
"357",73057,0.18384,-1580566.79481,1805682.2555,2017,1,0
"358",73297,0.208411,-1340566.79481,1805682.2555,2021,1,0
"359",73311,0.159566,-1326566.79481,1805682.2555,2018,2,0
"360",73311,0.159566,-1326566.79481,1805682.2555,2021,2,0
"361",73372,0.0114182,-1265566.79481,1805682.2555,2017,1,0
"362",73414,0.158956,-1223566.79481,1805682.2555,2017,1,0
"363",73462,0.0505892,-1175566.79481,1805682.2555,2019,2,0
"364",73476,0.0469881,-1161566.79481,1805682.2555,2017,2,0
"365",73476,0.0469881,-1161566.79481,1805682.2555,2018,3,0
"366",73476,0.0469881,-1161566.79481,1805682.2555,2020,3,0
"367",73476,0.0469881,-1161566.79481,1805682.2555,2021,6,0
"368",73477,0.0384819,-1160566.79481,1805682.2555,2017,1,0
"369",73477,0.0384819,-1160566.79481,1805682.2555,2020,2,0
"370",73477,0.0384819,-1160566.79481,1805682.2555,2021,3,0
"371",74056,0.0220137,-1331566.79481,1804682.2555,2019,1,0
"372",74056,0.0220137,-1331566.79481,1804682.2555,2021,1,0
"373",74057,0.0336048,-1330566.79481,1804682.2555,2020,1,0
"374",74057,0.0336048,-1330566.79481,1804682.2555,2021,1,0
"375",74058,0.0175498,-1329566.79481,1804682.2555,2018,1,0
"376",74058,0.0175498,-1329566.79481,1804682.2555,2019,3,0
"377",74058,0.0175498,-1329566.79481,1804682.2555,2020,1,0
"378",74058,0.0175498,-1329566.79481,1804682.2555,2021,9,0
"379",74059,0.0313297,-1328566.79481,1804682.2555,2020,1,0
"380",74059,0.0313297,-1328566.79481,1804682.2555,2021,1,0
"381",74206,0.0584873,-1181566.79481,1804682.2555,2019,2,0
"382",74226,0.0195947,-1161566.79481,1804682.2555,2017,3,0
"383",74226,0.0195947,-1161566.79481,1804682.2555,2019,2,0
"384",74226,0.0195947,-1161566.79481,1804682.2555,2021,1,0
"385",74227,0.0248467,-1160566.79481,1804682.2555,2019,1,0
"386",74251,0.0673506,-1887566.79481,1803682.2555,2021,1,0
"387",74812,0.0862137,-1326566.79481,1803682.2555,2021,1,0
"388",74819,0.0932047,-1319566.79481,1803682.2555,2021,1,0
"389",74867,0.0546742,-1271566.79481,1803682.2555,2017,1,0
"390",74871,0.0139148,-1267566.79481,1803682.2555,2021,1,0
"391",74956,0.0379959,-1182566.79481,1803682.2555,2018,1,0
"392",74956,0.0379959,-1182566.79481,1803682.2555,2021,1,0
"393",74977,0.044277,-1161566.79481,1803682.2555,2017,2,0
"394",74977,0.044277,-1161566.79481,1803682.2555,2019,1,0
"395",74977,0.044277,-1161566.79481,1803682.2555,2021,1,0
"396",74978,0.0157287,-1160566.79481,1803682.2555,2018,13,0
"397",74978,0.0157287,-1160566.79481,1803682.2555,2019,5,0
"398",74978,0.0157287,-1160566.79481,1803682.2555,2020,24,0
"399",74978,0.0157287,-1160566.79481,1803682.2555,2021,14,0
"400",75625,0.00461184,-1267566.79481,1802682.2555,2019,1,0
"401",75625,0.00461184,-1267566.79481,1802682.2555,2021,1,0
"402",75709,0.0283891,-1183566.79481,1802682.2555,2019,2,0
"403",75709,0.0283891,-1183566.79481,1802682.2555,2021,1,0
"404",75710,0.694559,-1182566.79481,1802682.2555,2018,1,0
"405",75710,0.694559,-1182566.79481,1802682.2555,2019,1,0
"406",75710,0.694559,-1182566.79481,1802682.2555,2021,1,0
"407",75732,0.0218652,-1160566.79481,1802682.2555,2021,1,0
"408",76259,0.00332513,-1389566.79481,1801682.2555,2017,1,0
"409",76314,0.168345,-1334566.79481,1801682.2555,2021,2,0
"410",76315,0.0289145,-1333566.79481,1801682.2555,2019,4,0
"411",76315,0.0289145,-1333566.79481,1801682.2555,2021,5,0
"412",76332,0.145774,-1316566.79481,1801682.2555,2017,1,0
"413",76332,0.145774,-1316566.79481,1801682.2555,2018,4,0
"414",76332,0.145774,-1316566.79481,1801682.2555,2019,2,0
"415",76332,0.145774,-1316566.79481,1801682.2555,2021,5,0
